F,E,B,N,D,V,EA,EB,AA,AB,AC
-3.477,0.005,0.003,20,8.086,347.777,0.89,1.38,1.61,0.89,1.35
-2.607,0.048,0.97,5,6.061,69.673,0.95,1.96,1.44,0.69,1.35
-3.555,0.019,2.243,10,3.925,115.04,1,1.54,1.34,0.605,1.35
-1.368,0.183,2.066,10,3.999,365.328,0.79,2,1.88,1.02,1.79
-2.769,0.033,3.044,5,5.053,114.913,0.82,1.87,1.72,1.19,1.285
-3.653,0.102,3.496,10,4.497,121.035,1.22,1.61,1.2,0.535,1.35
-3.705,0.035,4.277,30,4.556,467.764,1.1,1.61,1.36,0.535,1.35
-2.895,0.036,0.245,5,5.219,59.36,0.95,1.63,1.44,0.61,1.35
-3.625,0.055,3.364,40,5.09,592,0.95,1.33,1.44,0.72,1.35
-2.897,0.302,2.165,5,5.46,57.447,1.22,1.66,1.2,0.615,1.35
-3.667,0.013,3.567,10,5.234,143.931,0.95,1.33,1.44,0.72,1.35
-2.86,0.013,1.421,5,4.475,66.798,0.82,1.6,1.64,0.64,1.35
-3.503,0.003,1.732,5,5.729,67.595,0.89,1.54,1.61,0.605,1.35
-3.657,0.018,3.038,10,6.584,108.899,1.13,1.61,1.3,0.535,1.35
-3.661,0.027,3.024,10,6.771,107.527,1.14,1.61,1.27,0.535,1.35
-2.594,0.02,0.034,5,5.652,68.032,0.95,2.16,1.44,0.65,1.35
-1.876,0.009,2.31,5,3.936,188.335,0.79,1.87,1.88,1.19,1.79
-3.66,0.081,4.27,30,5.051,421.879,1.1,1.61,1.36,0.535,1.35
-0.059,0.033,4.294,20,5.641,411.715,0.82,1.87,1.72,1.19,1.285
-1.725,0.031,1.94,5,5.783,64.189,1.93,1.91,1.48,0.69,1.285
-3.569,0.001,2.103,5,4.962,61.402,0.95,1.54,1.44,0.605,1.35
-2.809,0.005,2.925,5,5.596,117.828,0.79,1.87,1.88,1.19,1.285
-3.562,0.011,2.478,20,3.925,230.051,1,1.54,1.34,0.605,1.35
-3.695,0.06,4.058,30,4.111,397.164,1.22,1.61,1.2,0.535,1.35
-3.429,0.312,3.582,10,5.742,123.707,1.1,1.61,1.36,0.535,1.35
-2.977,0.001,0.358,20,6.589,249.163,1.14,1.55,1.27,0.645,1.35
-3.184,0.009,2.269,10,6.476,122.506,1.1,1.66,1.36,0.615,1.35
-2.77,0.736,0.357,5,3.606,107.394,0.89,1.54,1.61,0.605,1.35
-3.041,0.158,1.197,30,4.883,385.454,1.22,1.66,1.2,0.615,1.35
